1,"NA","NA",16767,24.449372613725753
2,6.5,16.335,36868,20.21867306657524
3,11.5,11.5275,15594,24.025053011483028
4,7.,14.533333333333333,3852,26.706761548896875
5,9.,8.2225,12785,26.072153508375045
6,7.5,5.55,15385,24.024969537551012
7,1.5,11.9775,15503,23.613955084127916
8,"NA","NA",7196,25.088320061587318
9,2.,10.98,11552,24.30920795942255
10,"NA","NA",11849,23.78854384369659
11,3.25,3.9825,20256,23.2195619533354
12,4.25,16.505000000000003,9656,24.52625474350408
13,4.666666666666667,13.5,16911,23.917631723311843
14,"NA","NA",8966,26.3152523017629
15,2.6,13.677500000000002,10357,25.12748954055565
16,1.75,14.395,22185,22.956950172885133
17,11.25,12.497499999999999,8923,25.976279638555937
18,"NA","NA",9965,25.189171932031524
19,0.3333333333333333,16.72,2667,26.903657097915847
20,1.75,8.4725,15945,22.976087971120783
21,"NA","NA",5707,25.730562862153096
22,3.25,13.8675,23039,22.627920474602398
23,2.25,11.872499999999999,21234,11.072376311844078
24,"NA","NA",6885,23.939642406494773
25,4.333333333333333,9.035,9428,23.9336582155953
26,1.25,14.195,13631,23.6060195098739
27,8.5,11.405,18062,23.953765313852553
28,3.75,6.602500000000001,8871,25.191857358245702
29,12.5,17.060000000000002,10636,24.856288681422427
30,9.,3.6574999999999998,14145,23.97944116967175
31,"NA","NA",18373,24.962691862597094
32,6.,10.067499999999999,8791,25.10747694774823
33,2.75,6.7975,14488,24.600674780672286
34,8.,3.3200000000000003,11568,25.587214781391896
35,3.,4.875,11531,24.886685943759794
36,8.4,9.1225,15145,24.45368206075436
37,5.333333333333333,7.5,10979,23.00685668574476
38,4.,18.3025,14739,22.984890606851113
39,4.5,5.5600000000000005,15422,23.58593664233995
40,6.25,7.06,13653,23.974517319366743
41,10.25,8.0025,6126,26.164772808416444
42,7.25,8.865,14077,25.23665512756761
43,"NA","NA",16729,23.765607008520764
44,8.5,7.7125,10808,25.15195072845917
45,2.6666666666666665,10.975,15161,25.115001311929014
46,"NA","NA",28529,22.183780952380953
47,"NA","NA",10856,24.40332457192922
48,7.,7.785,6924,26.71238324767924
49,10.75,13.1925,12171,25.479609098728854
50,6.,4.204,2963,28.94479910947891
51,"NA","NA",4138,25.957589158073308
